timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422490704,191,15733,446591244,4937235427,5,68134476,15262755,448536056,58376055,1218051648,29985296,23889941,61179290,25607980,40279553,1650611,5519616,25868241,34878988,17917,29132,3148572,1031535,873239525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,1,0,1,0,44966,1160.3,1650.407,74.6,0,10.4,0,5,280912,9576532,22483296,0,0,22,195312496,0,0,1002.99,12371.26,0,0,0,0,14.97,85.83,96.39,0,0,0,2.11,1.4,0.1,8785
1422490706,192,15870,282845053,4013247486,65,57247232,15115802,409886754,53654008,601507373,21404671,18957735,69213626,24809788,29950018,2741049,6418137,23048797,45520094,17592,32636,5074471,1405621,1433186122,1,3,0,0,1,2.4,0.4,0,1,3.1,0,0,17.8,0,4.5,0,3,3,2,0,8176,1160.3,1650.407,74.6,0,12,0,2,280912,9576536,22484356,0,0,4,195312496,0,0,595.81,12235.53,0,0,0,0,6.99,81.84,95.06,0,0,0,2.94,1.96,0.04,8917
1422490708,192,16187,279727671,3500269361,11,52188409,16442966,596403220,67399231,863084140,27733004,18275316,46048261,22780899,35337157,1527053,6764418,25985281,33588558,12303,31071,5183310,2912709,3023252688,42.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,8103,1160.3,1650.407,74.6,0,4,0,2,280912,9576528,22479572,0,0,4,195312496,0,0,370.92,11742.83,0,0,0,0,4.95,77.15,98.53,0,0,0,0.78,0.69,0,9141
1422490710,191,16336,793669922,5876026879,147,91696774,18615501,334922770,32140479,506293732,36002831,7886408,22746510,11464885,32389592,3562578,15053131,21335474,106304363,31153,16467,1678714,539489,615452293,0,1,0,0,0,0,0,30.6,0,0,0,0,0,0,0,0,2,0,1,0,41270,1160.3,1650.407,74.6,0,8.8,0,5,280916,9576532,22479032,0,0,20,195312496,0,0,20053.4,38071.54,0,0,0,0,120.4,208.56,97.49,0,0,0.02,1.31,1.08,0.09,9519
1422490712,191,15801,366072243,5688227075,4,73461826,9971672,215186974,20470765,395522640,23948059,20532986,91531289,40698635,95799475,1447757,5525486,27337862,44307439,16756,26203,4039436,1227850,1038321601,0,0,0,0,0,0,0,27.7,0,0,0,0,0,0,0,0,1,0,1,0,9241,1160.3,1650.407,74.6,0,4,0,2,280916,9576532,22480004,0,0,5,195312496,0,0,2389.17,15343.49,0,0,0,0,20.3,104.91,96.79,0,0,0,1.92,1.29,0,8904
1422490714,192,15658,398748206,3846106021,4,73389009,12010414,206087042,33568220,501318520,26963832,21567240,66704065,38933408,108583450,1825651,5807715,25281378,32711341,14927,19407,3381808,2455076,2370193166,0,0,0.8,0,0,0,0,36.4,0,0,0,0,0,0,0,0,2,0,1,0,12178,1160.3,1650.407,74.6,0,14.67,0,3,280920,9576528,22481072,0,0,20,195312496,0,0,526.26,12289.4,0,0,0,0,8.92,85.23,96.9,0,0,0,1.85,1.17,0.08,8720
1422490716,191,15480,156094003,3076159534,4,37822528,6906099,266734867,37340584,897021289,32958720,22074154,57116227,35876527,97000162,2199803,7785703,24839554,37924520,27880,32882,9281591,4008195,2808684954,0,0,0,0,0,0,0,28.9,0,0,0,0,1,0,0,0,2,0,2,0,53036,1160.3,1650.407,74.6,0,11.43,0,7,280932,9576532,22482096,0,0,12,195312496,0,0,4918.33,15559.76,0,0,0,0,29.88,100.6,96.96,0,0,0,1.65,1.24,0.15,8712
1422490718,191,15354,183363544,2204590679,5,74569612,6275403,92792488,4643383,136973528,6839375,4605808,13691220,4636205,17156676,1137501,4213170,6988918,20885251,5939,12727,1693434,503914,799831188,0,0,0,0,0,0,0,96.2,100,0,0,0,0,0,0,0,2,0,2,0,8024,1160.3,1650.407,74.6,0,8,0,2,280932,9576536,22482468,0,0,4,195312496,0,0,565.13,12068.56,0,0,0,0,6.86,81.29,97.19,0,0,0,1.72,1.05,0.04,8519
1422490720,156,2806,350011407,1330532744,1,36316181,2366369,105294485,4699988,254798496,11202747,6371946,14543599,4855261,12732986,230729,1166893,2524150,9552335,1288,213,805254,669653,585865833,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,2,0,2,0,180746368,1160.3,1650.407,74.6,0,166.84,0,1429,280932,9576536,22482220,0,0,97611,195312496,0,0,5558.7,12155.87,0,0,0,0,22.77,69.84,90.29,0,0,0,0.56,0.11,9.05,3181
1422490722,153,424,350011407,1330532744,1,36316181,2366369,105294485,4699988,254798496,11202747,6371946,14543599,4855261,12732986,230729,1166893,2524150,9552335,1288,213,805254,669653,585865833,1,0,0,0,0,0,0,100,0,0,0,0,0,38.5,0,0,3,0,2,0,253338208,1160.3,1650.407,74.6,0,140.76,0,1997,280932,9576532,22482340,0,0,122603,195312496,0,0,751.22,9508.33,0,0,0,0,12.73,70.52,81.38,0,0,0.04,0.79,0.25,17.53,2131
